student_id,first_name,last_name,date_of_birth,gender
59,Christian,Parrish,1999-08-06,F
60,Roberto,Hayes,2000-06-19,M
61,Patricia,Marquez,2004-05-15,F
62,Patricia,Cook,2006-03-08,F
63,Debra,Hester,2002-06-15,F
64,Benjamin,Hurst,1998-05-24,M
65,John,Smith,2000-07-16,M
66,Sean,Lewis,2003-09-16,M
67,Tammy,Knight,1999-04-26,F
68,Joshua,Moore,2003-08-10,F
69,Kevin,Gonzalez,2003-01-30,M
70,Linda,Figueroa,2000-03-01,M
71,Amanda,Duran,1999-10-02,F
72,Sarah,Raymond,1998-11-09,M
73,Amy,King,1998-09-09,F
74,James,Luna,1998-10-02,F
75,Jacob,Garcia,2005-12-12,F
76,Sarah,Wolf,2000-02-19,M
77,Angela,Swanson,2004-01-31,M
78,Philip,Foley,2002-12-05,M
79,Jon,Roberts,1999-06-04,M
80,Stephen,Stafford,2002-08-24,M
81,Sharon,Williams,1999-04-13,F
82,John,Jordan,1999-11-11,F
83,Blake,Gonzalez,2003-07-20,M
84,Albert,Thomas,1999-10-26,F
85,Keith,Rodriguez,2000-12-04,M
86,Kari,Johnson,1999-07-31,F
87,Allison,Thomas,1999-07-25,F
88,David,Solomon,2004-08-11,F
89,Angela,Smith,2005-03-17,F
90,Thomas,Dean,1998-06-05,M
91,Stephen,Fowler,2000-07-06,M
92,Jeff,Smith,2001-10-14,F
93,Jane,Rocha,2003-07-06,M
94,Richard,Beck,1998-11-29,M
95,Randall,Nguyen,1998-07-22,F
96,Wayne,Lawson,2001-07-06,F
97,Laura,Sanchez,2003-10-01,M
98,Vanessa,Blair,1999-01-21,F
99,Joseph,Frye,2002-10-07,M
100,Chelsea,Nguyen,2000-09-08,F
101,Lindsay,Anderson,2004-11-23,M
102,Brooke,Ross,2002-01-02,F
103,Lori,Nichols,2005-09-30,M
104,Tammy,Thomas,2003-04-26,M
105,Jo,Sanders,1999-11-18,M
106,Jeffery,Tapia,2006-03-29,F
107,Jennifer,Young,1998-12-14,M
108,Samuel,Boyd,2002-06-09,F
109,Linda,Haynes,1999-04-15,M
110,Krystal,Robinson,1998-11-04,F
111,Michelle,Mcneil,1998-07-06,F
112,Scott,Morales,2005-12-02,M
113,Kim,Deleon,2000-07-19,F
114,Kayla,Johnson,2001-03-26,F
115,Andrea,Burns,2005-08-06,M
116,Michael,Gutierrez,1999-07-07,M
117,Nicole,Williams,1998-06-02,F
118,Kristi,Parker,1999-12-04,M
119,Donald,Edwards,2002-12-26,F
120,Ian,Hamilton,2001-07-05,F
121,John,Dominguez,2003-05-01,M
122,Kerry,Castillo,2003-08-07,M
123,Kevin,Wallace,2001-08-15,M
124,Kurt,Coleman,2005-12-19,F
125,Christopher,Holmes,1998-07-04,F
126,Ryan,Hudson,2000-07-16,F
127,Nicole,Gonzales,1999-03-14,F
128,Jeremy,Roberts,2000-12-29,M
129,Lindsey,Martin,1999-11-20,F
130,Meghan,Martinez,1999-11-28,F
131,Samantha,Mccall,1999-08-01,F
132,Joann,Hodges,1999-12-04,M
133,Brian,Rivera,2004-02-28,M
134,Troy,Caldwell,2005-10-27,F
135,Robert,Wilson,2003-12-17,M
136,Mary,Salazar,2002-02-17,M
137,Benjamin,Ibarra,2001-08-06,F
138,James,West,2006-05-04,M
139,Danielle,Martinez,1999-12-10,M
140,Nancy,Taylor,2002-11-09,F
141,Krystal,Jones,2006-03-17,F
142,Richard,Mccoy,2002-03-06,F
143,Joyce,Wang,1998-12-19,F
144,Alexandra,Joseph,1998-09-22,F
145,Amy,Jones,2005-05-24,F
146,Walter,Herring,1999-06-01,M
147,Daniel,Anderson,1999-01-06,M
148,Jesse,Miller,1998-05-29,F
149,Sally,Freeman,2002-09-15,M
150,Catherine,Price,2000-05-08,F
151,Haley,Johnson,2006-01-22,F
152,Jane,Todd,2000-05-20,M
153,John,Crawford,2001-03-28,F
154,Steven,Garcia,2001-10-20,F
155,John,Owens,2003-05-11,M
156,Dawn,Malone,1999-12-13,F
157,Steven,Hernandez,2002-06-12,F
158,Michelle,Klein,2004-11-13,F
159,Sean,Tate,2001-07-29,F
160,Tammy,Calhoun,1998-06-07,M
161,Christina,Perez,2001-08-01,M
162,Adam,Rivera,2002-06-02,F
163,Tonya,Jones,2002-03-15,M
164,Rebecca,Hammond,2000-11-07,M
165,Mark,Mays,2003-07-01,F
166,Caleb,Sanders,2006-01-14,F
167,Brianna,Lewis,2004-04-05,M
168,Ashley,Harris,1999-05-16,M
169,Rachel,Wilson,1999-08-27,F
170,James,Johnston,2002-07-22,M
171,Anna,Vaughan,2000-04-27,F
172,Kenneth,Gonzales,2000-07-09,F
173,Todd,Buckley,2004-01-28,F
174,Joseph,Cooper,2001-01-07,M
175,Laura,Gamble,2000-01-06,M
176,James,Meadows,2003-12-22,F
177,Mallory,Maynard,2003-01-07,F
178,Ryan,Sosa,1999-08-07,F
179,Courtney,Crawford,2000-12-06,F
180,Patrick,Rogers,2002-12-31,M
181,Sean,Banks,1999-12-09,M
182,April,Contreras,2000-01-08,F
183,Jeff,Pena,2001-12-27,M
184,Ryan,Lawson,2002-01-24,M
185,Jack,Gonzalez,2000-04-14,F
186,Michael,Hayes,2002-07-12,M
187,Ariel,Chang,2001-02-03,M
188,Alexander,Ramirez,2005-05-06,M
189,Marcus,Flynn,2000-08-12,F
190,Lori,Dunn,2002-07-10,M
191,Denise,Harrison,2004-04-24,F
192,Brittany,Cohen,1998-11-20,F
193,Ronald,Tran,1998-09-29,M
194,Melinda,Johnson,2005-08-28,F
195,Aaron,Jenkins,1999-06-06,M
196,Katherine,Wright,2000-03-27,M
197,Whitney,Anderson,2000-03-04,M
198,Brenda,Carter,2001-06-14,M
199,Sean,Ramirez,2002-10-15,F
200,Tyler,Wallace,2000-11-27,M
201,Jason,Pineda,2001-06-17,F
202,Jacob,Mckinney,1998-10-08,M
203,Stephanie,Conway,1999-06-23,F
204,Brian,Richards,2004-08-04,M
205,Karen,Gardner,2004-11-17,F
206,Zachary,Bryant,2004-08-30,F
207,Brian,Patton,2004-08-20,F
208,James,Jones,1999-09-01,F
209,Jessica,Williams,2003-04-04,M
210,Roberto,Alexander,1999-06-26,M
211,Dawn,Sanders,2005-08-29,M
212,Robert,Ramos,2005-02-11,F
213,Robert,Drake,2003-12-05,F
214,Sarah,Rosario,1999-08-01,F
215,Brenda,Brooks,2003-04-12,M
216,Levi,Atkins,2005-07-07,M
217,David,Wiley,1998-06-22,M
218,Alexa,Russo,2000-09-21,F
219,Rebecca,Williamson,2002-11-22,M
220,Natalie,Johnson,2003-12-18,M
221,Craig,Gutierrez,2003-04-08,M
222,Joshua,Hunt,2000-08-21,M
223,Peter,Baldwin,2005-07-08,F
224,Cassandra,Fitzpatrick,1998-08-16,F
225,Thomas,Kane,2003-08-08,M
226,Justin,Clark,1999-04-20,F
227,Jeremy,Morton,2000-06-11,F
228,Yesenia,Moore,2004-08-29,F
229,Elizabeth,Whitehead,1998-07-17,F
230,Monique,Jackson,1998-05-20,F
231,Megan,Roberts,2001-01-05,M
232,Reginald,Hall,2005-07-21,F
233,Tyler,Smith,2003-12-01,M
234,Kevin,Fry,1999-10-06,M
235,Lisa,Carney,2005-11-24,M
236,Tanya,Smith,2001-09-10,F
237,Karen,Cochran,2001-12-02,F
238,George,Bullock,2005-01-28,F
239,Mary,Mccarty,2002-09-20,F
240,Kristen,Lee,1999-01-11,M
241,Kristin,Hurst,2003-09-23,M
242,Laura,Pittman,1999-12-23,F
243,Steven,Moore,2003-05-03,F
244,Amanda,Kim,1998-05-19,M
245,Timothy,Larson,2000-09-13,M
246,Karen,Smith,2005-01-25,F
247,Miguel,Ochoa,2003-10-20,M
248,Michael,Richardson,2003-03-05,F
249,Keith,Davis,2001-03-28,F
250,Kevin,Curtis,2000-03-14,F
251,Jennifer,Rivera,1998-08-04,M
252,Tracey,Marshall,2000-06-13,F
253,Karen,Harmon,2000-04-01,M
254,Richard,Wiley,2004-07-08,F
255,Cassandra,Pope,2000-07-19,M
256,Jacob,Hill,2001-05-12,F
257,Kristen,Kelly,2003-02-20,F
258,Charles,Barrera,2001-03-02,M
259,Katie,Bryant,1999-03-24,M
260,William,Coleman,2005-06-17,F
261,Randy,Taylor,2002-06-24,F
262,Emily,Mcgee,2001-11-20,F
263,Paul,Clark,1999-06-11,F
264,Bradley,Hale,2002-03-26,F
265,Christian,Morrison,2005-02-18,F
266,Gina,Blackwell,2003-08-16,F
267,Donna,Blackwell,2001-04-18,M
268,Brandon,Allen,2000-06-20,M
269,James,Gonzalez,2003-01-23,M
270,Lisa,Strong,2004-09-30,M
271,Stephen,Brown,2002-04-07,M
272,Elizabeth,Robinson,2004-07-30,F
273,Jessica,Gentry,2000-09-02,M
274,Shaun,Dunn,2001-02-26,M
275,Larry,Downs,2004-07-03,M
276,Tamara,Robinson,2004-08-11,M
277,Sydney,Frey,2002-07-06,F
278,Julie,Long,2005-10-09,M
279,David,Allen,1999-08-20,F
280,Paul,Skinner,2003-02-02,M
281,Troy,Davis,2006-04-02,M
282,Ashley,Moore,2006-04-23,M
283,Tanya,Perez,2003-09-18,F
284,Regina,Jones,1999-11-05,M
285,Amber,Coleman,2004-01-30,M
286,Alexander,Smith,2004-07-27,M
287,Karen,Russo,2001-04-04,M
288,Jennifer,Gonzalez,2004-05-11,F
289,Madison,Cordova,2005-03-17,F
290,Kevin,Beck,2005-01-13,F
291,Sandra,Wheeler,2005-01-15,F
292,Aaron,Riddle,2003-02-03,M
293,Nicole,Atkinson,2005-06-15,M
294,Christopher,Davis,1999-12-26,F
295,Rebecca,Rhodes,2002-06-05,F
296,Rebecca,Norman,1999-08-22,M
297,Justin,Warner,2000-03-31,F
298,Tanner,Crawford,2003-08-14,F
299,Chad,Goodman,1998-09-29,M
300,Erica,Williams,1999-06-20,M
301,Teresa,Weaver,2001-04-07,F
302,Thomas,Hartman,2003-01-28,M
303,Jody,Hernandez,2002-03-16,M
304,Eugene,Sawyer,2000-11-05,M
305,Thomas,Rodriguez,2005-01-15,F
306,Stephanie,Smith,2000-05-15,F
307,Logan,Brown,2003-07-12,F
308,Zachary,Mann,2002-03-15,M
309,Jennifer,Edwards,1999-06-18,F
310,Lee,Watts,2006-03-24,M
311,William,Holland,2006-03-16,F
312,Kevin,Atkinson,2001-12-01,F
313,David,Conner,2000-10-19,M
314,Karen,Perry,1998-12-09,F
315,Benjamin,Salazar,2003-04-15,F
316,Nicole,Jordan,2001-03-25,F
317,Brandon,Washington,1999-11-25,F
318,Kimberly,Price,2005-03-05,M
319,Vincent,Stone,2000-06-01,F
320,Charles,Haas,2001-12-08,F
321,Alexis,Wheeler,2001-05-04,M
322,Vickie,Johnson,2000-02-26,M
323,Taylor,Wilson,2005-10-24,M
324,Rebecca,Holland,2003-10-10,M
325,Julie,Hall,2003-05-22,M
326,Michael,Gonzalez,2001-04-19,M
327,Chad,Robinson,1998-06-05,M
328,Amanda,Mcdonald,2003-07-16,F
329,Stacy,Martinez,1998-11-07,M
330,Richard,Bray,2001-11-22,F
331,Jennifer,Patel,2004-09-05,F
332,Stacy,Lopez,2000-10-13,M
333,Michelle,Lloyd,1999-06-10,F
334,Cameron,Blanchard,1998-08-30,M
335,Scott,Hernandez,2003-05-08,F
336,Anthony,Gonzalez,2003-08-20,F
337,Jeffrey,Tate,1998-05-25,F
338,Andrew,Ortiz,2001-08-07,M
339,Samuel,Randolph,2003-12-11,M
340,Christian,Harris,2004-04-26,F
341,Brian,Williams,1998-05-21,M
342,Jenny,Garcia,2002-09-18,M
343,Tyler,Kelly,2004-05-30,F
344,Julia,Willis,2005-11-17,F
345,Allison,Ford,2005-07-03,F
346,Joshua,Hanna,2001-03-18,M
347,Manuel,Harvey,1999-10-03,F
348,Nancy,Jenkins,2002-09-02,F
349,Roberta,Farrell,2003-08-12,F
350,Lauren,Gould,2000-05-17,F
351,Melissa,Evans,2003-07-11,M
352,Dillon,Mendez,2003-12-24,M
353,April,Small,2000-11-16,F
354,Marissa,Richards,2002-09-07,M
355,Benjamin,Rodriguez,2005-08-24,M
356,William,Hernandez,1999-12-09,M
357,Jason,Johnson,2001-07-11,M
358,Jean,Roth,2005-08-25,M
359,Theodore,Smith,2005-11-01,M
360,Christopher,Higgins,1999-12-16,F
361,Audrey,Armstrong,2000-07-18,M
362,Brian,Grant,2002-08-07,M
363,Alyssa,Lopez,2001-01-28,M
364,Debbie,Gutierrez,1999-06-12,F
365,Michael,Newton,1999-11-03,F
366,Christina,Larsen,2002-07-12,F
367,Anita,Boyd,2001-07-28,F
368,Hannah,Sanders,2001-12-08,F
369,Ryan,Henry,2003-02-28,M
370,Joshua,Phillips,2003-11-01,F
371,Tammy,Stephens,1998-05-25,M
372,Ashley,Wells,2001-03-10,M
373,Eric,Garrett,2003-04-19,M
374,John,Jones,2000-11-11,F
375,James,Brewer,2000-06-06,F
376,Stephen,Young,2002-02-04,F
377,Juan,Phillips,2002-07-19,F
378,Steven,Hartman,2001-08-25,F
379,Andrea,Allen,2005-04-07,F
380,Sean,Day,2001-07-14,M
381,Bryan,Stewart,2003-06-04,F
382,Jacob,Alexander,2003-08-04,M
383,Lisa,Stewart,2004-05-29,F
384,Amanda,Castro,2005-07-30,F
385,Danielle,Harvey,2001-08-28,M
386,Rachel,Estes,1998-05-30,M
387,Cynthia,Pierce,2002-06-13,F
388,Brandy,Webb,2006-04-10,M
389,Peggy,Lopez,2000-09-11,M
390,Ariana,Schwartz,2005-04-04,F
391,Samantha,York,2005-05-02,M
392,Patricia,Brown,1998-12-12,M
393,Madison,Arnold,2005-01-03,F
394,Todd,Henry,2004-11-22,F
395,Sharon,Preston,1999-10-14,F
396,Linda,Wilson,1998-12-31,M
397,Connie,Doyle,2000-09-03,M
398,Brian,Vega,2003-12-07,M
399,Scott,Knight,1998-08-01,F
400,Veronica,Simpson,2005-04-11,M
401,Beverly,Cline,1999-07-15,M
402,Anthony,Dean,2003-04-21,M
403,Sandra,King,2002-04-25,M
404,Tyler,Brown,2001-10-24,F
405,Paula,Williams,2002-02-22,M
406,John,Johnson,2003-09-18,F
407,Carla,Martinez,2002-02-14,M
408,Angelica,Greene,2005-04-16,F
409,Haley,Carr,2001-12-13,F
410,Margaret,Johnson,2001-09-30,F
411,Vanessa,Sellers,2004-03-04,M
412,Lisa,Rogers,2003-05-01,M
413,Janice,Kent,2006-03-02,M
414,Benjamin,Morris,2000-04-12,F
415,Amy,Ruiz,2000-09-24,F
416,Todd,Clark,2001-06-30,F
417,Connie,Bradley,2000-12-24,M
418,Sherry,Shaw,1999-04-07,M
419,Laura,Kim,2003-01-18,M
420,Eric,Alexander,2003-04-01,M
421,Crystal,Ramirez,2005-02-20,F
422,Nicole,Brown,1998-08-21,M
423,Caitlyn,Lynch,2002-02-06,F
424,Adam,King,2005-04-18,M
425,Wayne,Richards,1998-08-04,F
426,Sean,Odonnell,2002-11-02,F
427,Ashley,Williamson,2003-07-17,F
428,Scott,Martinez,2005-01-14,F
429,Joseph,Munoz,2000-02-28,M
430,Amy,Coleman,2002-03-09,M
431,Kenneth,Floyd,2000-06-03,F
432,Robert,Maxwell,2003-05-24,M
433,Jonathan,Butler,1999-04-09,F
434,Craig,Hernandez,2005-09-07,M
435,Derek,Clark,2000-03-22,F
436,Nicole,Cruz,2000-05-09,M
437,Cynthia,Miller,2005-10-25,M
438,Stephanie,Vargas,2005-05-22,M
439,Ian,Kaiser,2000-07-12,F
440,Amanda,Coleman,2002-02-14,F
441,Ronald,Horn,2000-11-04,M
442,Ryan,Graves,2003-07-16,F
443,Mary,Burton,2000-08-06,M
444,Nancy,Tucker,2000-07-21,M
445,James,Cox,2001-09-18,F
446,Denise,Smith,2003-06-18,M
447,Kimberly,Martinez,2001-11-02,M
448,Brittany,Harrison,2005-06-25,M
449,Timothy,Payne,1998-07-03,M
450,Kathleen,Reid,2006-03-14,M
451,Jacob,Bishop,1999-03-01,F
452,Hannah,Bowen,2003-12-24,F
453,Amber,Ramos,2003-07-07,F
454,Glenn,Ward,2003-03-07,F
455,Anne,Rollins,2001-07-29,F
456,Michael,Jones,2004-08-17,M
457,Cynthia,Zimmerman,2005-02-07,M
458,Jennifer,Wood,2001-09-03,F
459,Vanessa,Nichols,2004-10-20,F
460,Michael,Pena,2001-05-12,F
461,Valerie,Fernandez,2006-04-12,M
462,Katherine,Neal,2004-03-29,M
463,Eric,Steele,2001-01-23,F
464,Frederick,Chandler,2005-09-13,M
465,Michelle,Clarke,2005-03-26,M
466,Amy,Mcbride,1999-07-24,F
467,Jacqueline,Carter,2006-05-07,F
468,Jessica,Curtis,2002-03-06,M
469,Mark,Preston,2003-04-10,M
470,Michael,Rogers,2000-11-15,F
471,Jason,Robinson,2005-09-15,F
472,Megan,Robles,2002-11-10,M
473,Kristin,Lee,2003-04-02,F
474,Miranda,Henry,2000-09-27,F
475,Michele,Williams,1999-10-23,F
476,Mary,Walls,2001-02-12,F
477,Albert,Hughes,2002-05-10,F
478,Colleen,Sanders,2004-09-06,F
479,Jesus,Lopez,2002-07-18,M
480,Holly,Allen,2005-05-29,F
481,James,Rogers,2002-02-08,F
482,James,Williams,2003-12-29,F
483,Robert,Haynes,2003-02-17,M
484,Anthony,Pace,2005-12-30,F
485,Clarence,Francis,2001-05-10,M
486,Maria,Walton,2000-11-22,M
487,Katie,Kirby,2005-11-07,M
488,Joanna,Fuller,2001-05-01,M
489,Corey,Odonnell,2002-03-24,F
490,Thomas,Johnson,2003-12-31,F
491,Ronald,Velazquez,2000-07-28,F
492,Melissa,Thompson,2005-01-02,M
493,Donald,Mathews,2000-08-23,M
494,Emily,Velez,2002-11-25,F
495,Tyler,Robinson,2003-06-16,F
496,Selena,Frazier,2002-12-06,F
497,Cassie,Nelson,2005-05-12,M
498,Tammy,Shepherd,2003-10-24,F
499,Belinda,Ortiz,2000-12-18,F
500,Elizabeth,Cannon,2003-06-02,M
501,Kimberly,Johnson,2000-11-29,M
502,Colin,Green,2003-08-03,F
503,Pamela,House,2001-03-03,M
504,Kyle,Shaw,2001-08-25,F
505,Ruth,Ryan,2001-05-14,M
506,Gregory,Morgan,2004-07-05,M
507,Cindy,Cain,2001-10-27,F
508,John,Jones,2003-11-30,F
509,Michael,Douglas,2000-08-12,F
510,Carolyn,Porter,2003-06-20,F
511,Robert,Gonzalez,2005-04-15,M
512,Steven,Lewis,2003-10-17,F
513,Raymond,Allen,2003-08-31,F
514,Melissa,Guzman,2005-12-03,F
515,Austin,Brooks,2003-01-29,M
516,Laura,Avila,2004-12-09,F
517,James,Schwartz,2004-01-25,F
518,Adriana,Anderson,2005-05-12,M
519,Courtney,Savage,2004-03-21,M
520,Brian,Stone,1999-11-23,F
521,Alyssa,Schmidt,2004-05-16,M
522,Stephanie,Haynes,2006-02-10,F
523,Nicholas,Kirby,1998-06-26,F
524,William,Wright,2002-09-08,M
525,Oscar,Becker,2002-10-07,F
526,Megan,Smith,2003-04-12,F
527,Nicole,Nunez,2001-05-27,M
528,Justin,Gillespie,2001-12-14,F
529,Derek,Baker,2005-09-02,M
530,Nicole,Kelly,2001-10-01,F
531,Robert,Ayala,2002-04-13,M
532,Danielle,Smith,2005-12-12,M
533,Karen,Chapman,2002-04-22,M
534,Lauren,Stafford,2004-11-26,F
535,Tyler,White,1998-09-18,M
536,Donald,Rangel,2002-08-10,M
537,John,Wang,2001-11-06,F
538,Anthony,Baker,2006-03-30,F
539,Catherine,Atkinson,2000-09-17,M
540,Heather,Miller,2002-07-11,F
541,Cheryl,Garcia,1998-06-07,F
542,Jennifer,Cruz,2005-09-23,F
543,Tyler,Harris,2000-06-24,F
544,Hannah,Woodard,1999-03-24,M
545,Sherry,Long,2005-03-08,F
546,Samantha,Harris,2004-03-13,F
547,Stephen,Adkins,1999-06-30,M
548,Tyler,Ross,2005-09-22,F
549,Victoria,Martinez,2002-03-03,F
550,Savannah,Buck,2000-09-02,M
551,Jessica,Stewart,2005-01-08,M
552,Katie,Jones,2005-07-04,F
553,Stephanie,Cantu,1998-09-07,F
554,Sarah,Lopez,2000-09-17,F
555,Eric,Walker,2000-07-22,F
556,Richard,Marsh,2000-01-20,F
557,Laura,Walker,2004-08-17,F
558,Eric,Evans,2000-01-13,M
559,John,Garza,2001-12-13,F
560,Ashley,Gutierrez,2000-10-25,F
561,Haley,Daniels,2004-05-17,F
562,Wayne,Patterson,1999-10-24,F
563,Zachary,Zamora,2001-03-03,F
564,Nicholas,Lewis,2005-05-09,M
565,April,Bonilla,2000-09-09,M
566,Jack,Powell,2004-04-15,M
567,Sarah,Harrington,2006-01-17,F
568,Amanda,Molina,1999-03-16,M
569,Luis,Knight,2000-08-11,M
570,Harold,Porter,2006-04-08,F
571,Rhonda,Neal,2004-05-06,F
572,Regina,Palmer,1998-06-24,F
573,Julia,Medina,2003-02-03,M
574,Adrian,Garza,2000-09-23,F
575,Robert,Solomon,2005-05-09,F
576,Dennis,Soto,2004-05-09,F
577,Mackenzie,Diaz,2001-04-14,F
578,Ashley,Thomas,2000-06-04,F
579,Stephen,Diaz,1999-02-15,F
580,Micheal,Allen,1999-07-11,M
581,John,Lopez,2000-07-16,M
582,Ana,Marsh,1999-05-20,M
583,Renee,Johnson,2006-02-03,M
584,Jimmy,Miller,2003-01-11,M
585,Samuel,Jimenez,2000-07-06,M
586,Laura,Lewis,2005-04-28,F
587,Edward,Hernandez,1998-12-19,M
588,Larry,Patel,2003-05-05,F
589,Mark,Estrada,2002-10-14,F
590,Kristopher,Snyder,1999-06-03,F
591,Michelle,Conrad,2003-08-20,F
592,Samantha,Martin,2000-05-22,M
593,Anthony,Travis,2001-09-04,F
594,Rachel,Hall,2001-03-17,F
595,Kelly,Sweeney,1999-01-21,F
596,William,Barber,2001-02-15,F
597,Catherine,Wilkinson,2002-05-02,M
598,Teresa,Andrade,1999-01-26,F
599,Melissa,Anderson,2002-02-07,M
600,Jeffrey,Thompson,2005-08-22,F
601,Marco,Jimenez,2005-01-22,M
602,Kimberly,Johnson,2002-08-14,M
603,John,Kelley,1999-08-01,M
604,Jody,Webb,2005-05-01,M
605,Stacey,Foster,2000-10-04,M
606,Wendy,Sosa,2004-12-28,F
607,Ana,Arias,2000-05-18,F
608,Lindsey,Reynolds,2002-01-08,F
609,Mary,Cabrera,2002-05-28,M
610,Christopher,Jackson,2005-07-20,F
611,Sherry,Rogers,2003-06-15,F
612,Justin,Jones,2000-08-28,M
613,Richard,Green,2001-01-03,M
614,Sonia,Porter,2006-02-15,F
615,Stephanie,Rodriguez,2001-01-29,M
616,James,Allen,2005-03-27,F
617,Jose,Hill,2006-02-09,F
618,John,Rocha,2005-07-22,F
619,James,Walker,2006-03-27,F
620,Jerry,Hill,2001-07-30,M
621,Amanda,Johnson,2004-01-17,M
622,Thomas,Ayala,2003-07-13,F
623,Michael,Hamilton,2003-09-14,F
624,Dustin,Becker,2005-06-13,M
625,Kathleen,Simpson,2004-04-27,F
626,Michele,Decker,2001-05-23,M
627,Jose,Black,2000-10-19,M
628,Jennifer,Allen,2000-08-04,M
629,Jeffrey,Haynes,2005-08-03,M
630,Lauren,Harris,2005-06-15,F
631,Nicholas,Murphy,2003-08-22,M
632,James,Stark,2000-03-22,M
633,Ronald,Weaver,2004-06-11,F
634,Kayla,Harris,2005-05-06,F
635,Sarah,Johnson,2000-01-14,M
636,Sandra,Villa,2000-08-05,M
637,Anthony,Mueller,1998-09-13,F
638,Donald,Owens,2005-12-28,F
639,Amy,Simpson,2002-08-14,F
640,Patricia,Beltran,2001-12-05,F
641,Linda,Alexander,2004-07-30,F
642,Keith,Sparks,2005-04-19,M
643,Eric,Mitchell,2003-09-26,M
644,Shannon,Phillips,2000-05-29,F
645,Brittney,Freeman,2004-08-17,F
646,Christine,Sanchez,2001-01-30,F
647,Larry,Parker,2001-09-25,F
648,Kara,Hernandez,2001-05-25,F
649,Heidi,Osborn,2002-04-03,F
650,Michelle,Newton,1999-05-29,M
651,Courtney,Matthews,2003-09-01,F
652,Joseph,Gray,2003-01-06,M
653,Rebecca,Wells,2003-12-01,F
654,Haley,Frost,2000-06-22,F
655,Victor,Weeks,2006-05-12,M
656,Anna,Parker,2004-06-02,M
657,Tara,Green,2000-08-03,F
658,Martha,Lester,1999-08-29,M
659,Henry,Whitehead,2000-02-29,F
660,Luis,Maldonado,1999-01-04,M
661,Shirley,Maynard,2004-02-18,M
662,Michele,Fernandez,2001-02-05,M
663,Tyler,Spears,2002-01-29,F
664,Kimberly,Hudson,2003-10-06,M
665,Wayne,Ryan,2005-11-23,M
666,Christopher,Vaughn,2002-05-25,F
667,Charles,Henson,2005-09-12,F
668,Dominic,Luna,2005-03-24,F
669,Zachary,Cruz,2004-09-30,F
670,Curtis,Rice,1999-05-14,F
671,Cassandra,Dickerson,2003-03-20,F
672,Nicole,Ingram,1998-09-05,F
673,Patrick,Wright,2001-10-11,M
674,Kevin,Case,2000-04-03,M
675,Leslie,Smith,2000-05-15,F
676,Ryan,Walsh,2001-03-22,M
677,Isaac,Campbell,1999-08-21,F
678,Jamie,Walker,2000-06-28,F
679,Jennifer,Brady,1998-08-31,F
680,Stephen,Watson,2002-07-14,F
681,Robert,Chan,2006-04-30,M
682,Dustin,Ward,2000-01-31,M
683,Christina,Harris,2004-05-19,F
684,Brenda,Hood,2002-07-02,M
685,April,Allison,2000-03-21,M
686,Julie,Wood,1998-07-06,F
687,Danielle,Brown,2000-03-31,F
